recipe_name,ingredients,directions,img_src
Ayam Bakar Taliwang (Lombok Spicy Grilled Chicken),"400 grams chicken breast, 3 red chillies, 3 cloves garlic, 4 shallots, 1 teaspoon shrimp paste, 1 medium tomato, 1 tablespoon lime juice, 1 tablespoon brown sugar, 1 teaspoon salt, 1 tablespoon vegetable oil","Blend chillies, garlic, shallots, shrimp paste, and tomato. Sauté the paste in a tablespoon of oil until fragrant. Coat chicken breast in the paste, then simmer in a pan with a little water for 10 minutes until chicken is par-cooked. Transfer chicken to a grill or grill pan. Grill the chicken, basting frequently with the remaining spice paste, until charred and fully cooked, about 5 minutes per side. Drizzle with lime juice before serving.",https://asset.kompas.com/crops/z7_4ZpLh3wD6_zXpB0FvM2E4P3E=/0x0:1000x667/780x390/data/photo/2021/08/13/611680d9229f3.jpg
Pepes Ikan Kembung (Spiced Mackerel Steamed in Banana Leaf),"300 grams mackerel fish cleaned, 3 cloves garlic, 4 shallots, 1 inch ginger, 1 teaspoon turmeric powder, 2 red chillies, 1 tomato sliced, 2 stalks lemongrass sliced, 1 cup basil leaves, 1 teaspoon salt, 1 teaspoon sugar","Blend garlic, shallots, ginger, turmeric, chillies, salt, and sugar into a paste. Cover the mackerel fish thoroughly in the spice paste, sliced tomato, sliced lemongrass, and fresh basil leaves. Wrap the fish tightly in banana leaves (or aluminum foil) and secure the ends. Steam the packet for 20 minutes. Optionally, pan-sear the wrapped fish for 2 minutes per side to add a smoky aroma. Unwrap and serve hot.",https://img.kurio.network/P1Obhh7cenTadrAZ6Hc_XPjaVws=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/09/01/53606332-ec0c-478c-add9-78815b5cc658.jpe
Pecel Sayur Madiun (Javanese Steamed Vegetables with Spicy Peanut Sauce),"1 cup spinach blanched, 1 cup bean sprouts blanched, 1 cup cabbage blanched, 1 cup long beans blanched, 1/2 cup peanuts roasted, 2 cloves garlic, 2 red chillies, 1 tablespoon tamarind juice, 2 tablespoons palm sugar, 1 lime leaf, 1 teaspoon salt, 1/2 cup warm water","Arrange all blanched spinach, bean sprouts, cabbage, and long beans on a platter. For the pecel sauce: Grind roasted peanuts, garlic, chillies, palm sugar, lime leaf, and salt into a fine powder. Dissolve the powder in warm water and tamarind juice to form a smooth, pouring consistency. Pour the peanut sauce over the steamed vegetables just before serving.",https://asset.kompas.com/crops/98T377Hq3LwN2XN4k7v0Nn0m2E4=/0x0:1000x667/780x390/data/photo/2021/08/11/6113b2d6a54b3.jpg
Semur Daging Sapi (Sweet Soy Beef Stew),"400 grams beef cut into cubes, 4 tablespoons sweet soy sauce, 1/4 teaspoon nutmeg powder, 2 cloves cloves whole, 3 cloves garlic, 3 shallots, 1 medium tomato sliced, 2 medium potatoes cubed, 2 cups water, 1 teaspoon salt","Blend garlic and shallots. Sauté the paste in a pot until fragrant. Add beef cubes and cook until brown. Pour in sweet soy sauce, nutmeg, cloves, salt, and water. Bring to a boil, then cover and simmer over low heat. After 20 minutes, add cubed potatoes. Continue to simmer for another 20 minutes until the beef and potatoes are meltingly tender, and the sauce is dark and rich. Stir in sliced tomatoes 2 minutes before finishing.",https://asset.kompas.com/crops/h919v0v5B-Rk_296S5n4P82qf5E=/0x113:1000x780/750x500/data/photo/2020/06/29/5ef9d984bbf63.jpg
Rawon Daging (East Javanese Black Beef Soup),"400 grams beef cut into cubes, 3 pieces keluak nuts pulp extracted, 1 stalk lemongrass bruised, 1 inch ginger, 3 cloves garlic, 5 shallots, 1 teaspoon ground coriander, 1 teaspoon turmeric powder, 2 spring onions chopped, 4 cups water, 1 teaspoon salt","Soak keluak pulp in hot water for 5 minutes, then blend with garlic, shallots, ginger, coriander, turmeric, and salt. Sauté the paste in a pot with lemongrass until fragrant. Add beef cubes and cook for 2 minutes. Pour in water and bring to a boil. Reduce heat, cover, and slow-cook for 1.5 hours until beef is tender. Garnish with chopped spring onions. Serve hot with short bean sprouts and salted egg.",https://asset.kompas.com/crops/h919v0v5B-Rk_296S5n4P82qf5E=/0x113:1000x780/750x500/data/photo/2020/06/29/5ef9d984bbf63.jpg
Sate Kambing (Indonesian Lamb Satay),"400 grams lamb cut into cubes, 6 tablespoons sweet soy sauce, 4 shallots sliced, 3 red chillies sliced, 1 medium tomato cubed, 1/2 teaspoon ground black pepper, 1/2 teaspoon salt, 1 tablespoon lime juice","Thread cubed lamb onto skewers. Grill satay skewers over hot coals or in a grill pan until cooked to medium-well, about 2-3 minutes per side. For the dipping sauce: Mix sweet soy sauce, sliced shallots, sliced chillies, cubed tomato, black pepper, salt, and lime juice in a bowl. Serve the hot lamb skewers immediately with the seasoned sweet soy dipping sauce.",https://img-global.cpcdn.com/recipes/5b1b44ec2501bc5b/1200x630cq70/photo.jpg
"Ketoprak Jakarta (Tofu, Vermicelli, and Bean Sprout Salad)","200 grams tofu cubed, 100 grams rice vermicelli soaked, 1 cup bean sprouts blanched, 2 pieces rice cake cubed, 1/2 cup peanut butter, 2 cloves garlic, 3 tablespoons sweet soy sauce, 2 red chillies, 1/2 cup warm water, 1 teaspoon salt","Pan-fry the cubed tofu until golden brown and crispy. Arrange cubed rice cake, soaked rice vermicelli, blanched bean sprouts, and fried tofu on a plate. Sauté or crush garlic, chili, peanut butter, salt, sweet soy sauce, and warm water together to form a rich peanut dressing. Pour the dressing over the ingredients, drizzle with extra sweet soy sauce, and top with crackers.",https://asset.kompas.com/crops/98T377Hq3LwN2XN4k7v0Nn0m2E4=/0x0:1000x667/780x390/data/photo/2021/08/11/6113b2d6a54b3.jpg
Nasi Uduk Betawi (Lemongrass Coconut Rice),"3 cups jasmine rice washed, 1.5 cups coconut milk, 2 stalks lemongrass bruised, 2 bay leaves, 1 pandan leaf knotted, 1 inch ginger sliced, 1 teaspoon salt, 1 cup water","In a rice cooker bowl, combine washed jasmine rice, coconut milk, water, bruised lemongrass, bay leaves, pandan leaf, ginger, and salt. Stir well to dissolve the salt. Turn on the rice cooker. Once cooked, let the rice steam for 10 minutes inside the cooker, then fluff with a fork. It should be highly aromatic, savory, and perfectly fluffy. Serve with fried shallots.",https://www.frisianflag.com/storage/app/media/uploaded-files/nasi-uduk-betawi.jpg
Capcay Ayam (Stir-Fried Vegetables and Chicken),"150 grams chicken breast sliced, 1 cup cabbage chopped, 1 medium carrot sliced, 1 cup broccoli florets, 1 cup cauliflower florets, 3 cloves garlic minced, 3 shallots sliced, 2 tablespoons oyster sauce, 1 teaspoon cornstarch dissolved in water, 1 tablespoon vegetable oil, 1/2 cup water, 1 teaspoon salt","Heat vegetable oil in a wok. Sauté minced garlic and shallots until fragrant. Add sliced chicken breast and stir-fry until cooked. Add sliced carrot, broccoli, and cauliflower, stir-fry on high heat for 2 minutes. Pour in water and oyster sauce, season with salt. Cover and let steam for 2 minutes. Add cabbage, stir, and pour in cornstarch slurry. Cook until the sauce thickens and vegetables are tender-crisp. Serve hot.",https://asset.kompas.com/crops/2RnTJZK6E9ABjS_1qmItNjI1hls=/0x0:5760x3840/750x500/data/photo/2023/02/14/63eb12fb840da.jpg
Perkedel Kentang (Indonesian Savory Potato Fritters),"500 grams potatoes peeled and sliced, 1 large egg beaten, 3 shallots sliced, 1 stalk celery finely chopped, 1/4 teaspoon nutmeg powder, 1 teaspoon salt, 1/2 teaspoon white pepper, 1 cup vegetable oil for deep frying","Deep-fry the sliced potatoes in hot vegetable oil until golden and soft. Transfer to a bowl and mash until completely smooth. Pan-fry the sliced shallots until crispy, then crush and add to the mashed potato along with chopped celery, nutmeg, salt, white pepper, and half of the beaten egg. Mix thoroughly. Shape the mixture into oval patties. Dip each patty in the remaining beaten egg. Shallow-fry in hot oil until beautiful golden brown on both sides. Serve hot.",https://img.kurio.network/P1Obhh7cenTadrAZ6Hc_XPjaVws=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/09/01/53606332-ec0c-478c-add9-78815b5cc658.jpe
Tumis Tempe Kecap (Stir-Fried Tempeh in Sweet Soy Sauce),"300 grams tempeh cubed, 4 tablespoons sweet soy sauce, 3 cloves garlic, 3 shallots, 2 green chillies sliced, 1 inch galangal bruised, 2 bay leaves, 1 teaspoon salt, 1/4 cup water, 2 tablespoons vegetable oil","Deep-fry or pan-fry cubed tempeh until light golden brown and slightly crispy, set aside. Heat vegetable oil in a pan, sauté garlic, shallots, sliced green chillies, galangal, and bay leaves until fragrant. Reintroduce the fried tempeh. Add sweet soy sauce, salt, and water. Stir-fry over medium heat until the sauce caramelizes and coats the tempeh evenly. Serve hot.",https://img-global.cpcdn.com/recipes/5b1b44ec2501bc5b/1200x630cq70/photo.jpg
Mie Goreng Jawa (Javanese Fried Noodles with Chicken),"200 grams egg noodles, 100 grams chicken breast sliced, 1 cup cabbage chopped, 1 large egg, 3 tablespoons sweet soy sauce, 3 cloves garlic, 2 shallots, 2 candlenuts crushed, 1 teaspoon salt, 1/2 teaspoon black pepper, 1 tablespoon vegetable oil","Boil egg noodles in water until al dente, drain and toss with 1 tablespoon sweet soy sauce and a little oil. Blend garlic, shallots, candlenuts, salt, and black pepper. Heat oil in a wok, sauté the spice paste until fragrant. Add chicken slice and stir-fry until cooked. Push ingredients to the side, scramble the egg. Add cabbage and stir-fry for 1 minute. Add noodles, remaining sweet soy sauce, and stir-fry on high heat for 3 minutes until smokey and well combined. Serve hot.",https://asset.kompas.com/crops/2RnTJZK6E9ABjS_1qmItNjI1hls=/0x0:5760x3840/750x500/data/photo/2023/02/14/63eb12fb840da.jpg
Pepes Tahu Kemangi (Spiced Steamed Tofu in Banana Leaf),"300 grams tofu mashed, 1 large egg, 1 cup fresh basil leaves, 1 medium tomato chopped, 3 cloves garlic, 3 shallots, 2 red chillies, 1 teaspoon salt, 1 teaspoon sugar","Blend garlic, shallots, red chillies, salt, and sugar into a spice paste. Combine mashed tofu, egg, the spice paste, chopped tomato, and fresh basil leaves in a bowl, mix thoroughly. Divide the mixture into 4 portions. Wrap each portion in banana leaf (or aluminum foil), folding and securing the ends. Steam the packets for 20 minutes over medium heat. Pan-sear the steamed packets for 1-2 minutes per side for a smokey flavor. Serve hot.",https://img.kurio.network/P1Obhh7cenTadrAZ6Hc_XPjaVws=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/09/01/53606332-ec0c-478c-add9-78815b5cc658.jpe
Sate Lilit Ikan (Balinese Grilled Fish Satay),"300 grams minced white fish, 1/2 cup grated coconut, 2 tablespoons coconut milk, 6 stalks lemongrass thick, 3 cloves garlic, 4 shallots, 1 red chili, 1 teaspoon turmeric powder, 1 inch ginger, 1 teaspoon ground coriander, 1 tablespoon brown sugar, 1 teaspoon salt","Blend garlic, shallots, chili, turmeric, ginger, coriander, salt, and brown sugar. Mix minced white fish, grated coconut, coconut milk, and the spice paste in a bowl until sticky and uniform. Divide the mixture into 6 portions. Wrap and press a portion of fish paste around the thick upper half of each lemongrass stalk. Grill the satay skewers over hot coals or in a grill pan until slightly charred and cooked through, about 3 minutes per side. Serve hot.",https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg
Ikan Bakar Cianjur (Indonesian Sweet Soy Grilled Fish),"350 grams whole mackerel fish cleaned, 4 tablespoons sweet soy sauce, 3 cloves garlic, 3 shallots, 1 teaspoon ground coriander, 1 inch ginger, 1 tablespoon lime juice, 2 red chillies, 2 tablespoons vegetable oil, 1 teaspoon salt","Make shallow diagonal cuts on both sides of the cleaned mackerel fish. Drizzle with lime juice and salt, let sit for 10 minutes. Blend garlic, shallots, coriander, ginger, chillies, and salt. Sauté the paste in a little oil until fragrant, then mix with sweet soy sauce. Coat the fish thoroughly in the sweet soy spice paste. Grill the fish over hot charcoal or in a preheated grill pan, brushing regularly with the sweet soy mixture, for 5-6 minutes per side until beautifully charred and cooked. Serve hot.",
